Age,M,F
0-4,4001787,3851115
5-9,4198595,4056204
10-14,5629488,5475393
15-19,4680523,4626189
20-24,4418329,4459595
25-29,4315385,4298513
30-34,4044039,3962258
35-39,3309895,3547455
40-44,2361409,2915897
45-49,2284633,2637663
50-54,2144969,2358820
55-59,1820044,1879725
60-64,1563000,1627222
65-69,1120051,1243910
70-74,757121,938293
75-79,405287,610485
80-84,175601,331617
85-89,52100,119485
90-94,10901,29022
95-99,1264,4227
100+,64,298
