Age,M,F
0-4,5938999,5724233
5-9,4745872,4646738
10-14,4495796,4432743
15-19,4432233,4393728
20-24,4031628,4043126
25-29,3126294,3536104
30-34,2417269,2921457
35-39,2423474,2727144
40-44,2273036,2396577
45-49,2018766,1995898
50-54,1780270,1739688
55-59,1421361,1429907
60-64,1137506,1229155
65-69,795212,981977
70-74,515361,720182
75-79,284662,442641
80-84,123579,218129
85-89,37361,77747
90-94,6918,17725
95-99,611,2193
100+,26,139
