Age,M,F
0-4,2827749,2704160
5-9,2989130,2860691
10-14,3038522,2910204
15-19,3244753,3101404
20-24,3651936,3494436
25-29,4175620,3993756
30-34,4977468,4790222
35-39,4558180,4436017
40-44,4080802,3999518
45-49,3833331,3792302
50-54,4136339,4136256
55-59,5287772,5346355
60-64,4073176,4273525
65-69,3672392,3986927
70-74,3169603,3727101
75-79,2393632,3138922
80-84,1394425,2375304
85-89,603403,1411950
90-94,251673,719767
95-99,59518,238049
100+,6352,39516
