Age,M,F
0-4,2579456,2463402
5-9,2737118,2613993
10-14,2829757,2707761
15-19,3063806,2919786
20-24,3111942,2975923
25-29,3265867,3116015
30-34,3608258,3477979
35-39,4103859,3978419
40-44,4905512,4769275
45-49,4494253,4418781
50-54,3992945,3946587
55-59,3721347,3726255
60-64,3938810,4037143
65-69,4916182,5211105
70-74,3600530,4080003
75-79,2992876,3647918
80-84,2183068,3149217
85-89,1192502,2221372
90-94,443622,1219340
95-99,95724,432444
100+,12888,90806
