Age,M,F
0-4,5785471,5579528
5-9,4877395,4784184
10-14,4440860,4378763
15-19,4387489,4348168
20-24,3945196,3984202
25-29,2902363,3431935
30-34,2403008,2846070
35-39,2420887,2693885
40-44,2223580,2298270
45-49,2024408,1988462
50-54,1721643,1683636
55-59,1377219,1388864
60-64,1104528,1207043
65-69,781122,976816
70-74,498146,695793
75-79,276698,427943
80-84,120519,211983
85-89,36156,74970
90-94,6455,16636
95-99,559,2033
100+,23,129
