Age,M,F
0-4,4007026,3859983
5-9,4597345,4447257
10-14,5552781,5397340
15-19,4748265,4712653
20-24,4263161,4302575
25-29,4230801,4210075
30-34,3876815,3826162
35-39,2837942,3333773
40-44,2302248,2749516
45-49,2280044,2579362
50-54,2058902,2177894
55-59,1813513,1848822
60-64,1456616,1515690
65-69,1045513,1160780
70-74,711121,897220
75-79,386312,598755
80-84,164677,309198
85-89,50242,111124
90-94,10411,27417
95-99,1134,4005
100+,57,300
