Age,M,F
0-4,4055530,3904232
5-9,4927550,4766062
10-14,5274318,5138568
15-19,4756048,4719571
20-24,4272443,4311546
25-29,4181812,4153968
30-34,3753908,3758420
35-39,2645483,3220244
40-44,2304467,2702548
45-49,2266092,2537098
50-54,2009202,2087601
55-59,1799881,1823400
60-64,1412408,1472182
65-69,1018768,1135950
70-74,681208,868885
75-79,375581,588557
80-84,159101,296831
85-89,48746,106489
90-94,9910,26148
95-99,1056,3822
100+,53,290
