Age,M,F
0-4,4489525,4270919
5-9,4180519,4007422
10-14,4000243,3858364
15-19,4580976,4487521
20-24,5459755,5397298
25-29,4787421,4763780
30-34,4299342,4234204
35-39,4191826,4135860
40-44,3778660,3753733
45-49,2732847,3250382
50-54,2177972,2663485
55-59,2089719,2440189
60-64,1786646,2010636
65-69,1431370,1623562
70-74,990021,1208229
75-79,556817,775954
80-84,254624,433639
85-89,74510,168902
90-94,15704,44571
95-99,2048,6953
100+,126,551
