Age,M,F
0-4,3790060,3614907
5-9,4535145,4322299
10-14,5018470,4783904
15-19,4447663,4254674
20-24,4131808,3975604
25-29,4058361,3911974
30-34,4868468,4734720
35-39,5176927,5056300
40-44,4617601,4607012
45-49,4128722,4141984
50-54,3882105,3959079
55-59,3340387,3542985
60-64,2254116,2949129
65-69,1787691,2370301
70-74,1513521,2047948
75-79,1004109,1433997
80-84,549092,883938
85-89,198970,381379
90-94,49390,113409
95-99,7767,22329
100+,499,1969
