Age,M,F
0-4,5023925,4844631
5-9,5341255,5174493
10-14,4822379,4752400
15-19,4391203,4358572
20-24,4230474,4241202
25-29,3773642,3822430
30-34,2694173,3262908
35-39,2351526,2752845
40-44,2348055,2595528
45-49,2091858,2154742
50-54,1921784,1895690
55-59,1565022,1571067
60-64,1206688,1267757
65-69,887895,1037527
70-74,574692,792325
75-79,313480,494323
80-84,134868,241410
85-89,40655,86764
90-94,8254,20725
95-99,812,2814
100+,33,183
