Age,M,F
0-4,2978608,2845600
5-9,3019462,2894546
10-14,3135414,3004052
15-19,3573942,3411676
20-24,4048966,3864185
25-29,4907942,4690508
30-34,4783508,4609957
35-39,4131091,4019589
40-44,3906032,3824165
45-49,4043951,4001372
50-54,5311489,5312863
55-59,4278345,4370381
60-64,3957332,4158133
65-69,3541898,3913788
70-74,2868902,3423737
75-79,1988250,2814838
80-84,1020568,1930621
85-89,540109,1199157
90-94,200331,555845
95-99,40471,151202
100+,4354,24561
