Age,M,F
0-4,2773375,2651489
5-9,2910050,2782806
10-14,3022906,2896590
15-19,3103270,2961844
20-24,3432288,3287266
25-29,3793131,3636058
30-34,4507449,4339525
35-39,4917571,4767218
40-44,4305829,4222896
45-49,3947177,3898187
50-54,3844383,3830259
55-59,4518512,4577407
60-64,4681810,4828287
65-69,4007855,4357555
70-74,3280277,3767126
75-79,2596526,3361949
80-84,1713162,2656574
85-89,733787,1682356
90-94,272674,808458
95-99,73391,303803
100+,8512,55445
