Age,M,F
0-4,3031352,2899890
5-9,3133422,2999243
10-14,3525929,3378852
15-19,4041415,3853908
20-24,4953125,4728771
25-29,4827566,4621920
30-34,4187855,4033999
35-39,3937066,3819503
40-44,4110524,4025423
45-49,5408838,5353430
50-54,4395586,4425861
55-59,4099595,4219124
60-64,3756426,3992440
65-69,3186474,3570373
70-74,2347775,3028901
75-79,1372221,2242623
80-84,911883,1621728
85-89,436785,939682
90-94,134331,343617
95-99,26946,89922
100+,2376,11277
