Age,M,F
0-4,2354314,2250946
5-9,2640201,2521236
10-14,2770185,2648750
15-19,2972023,2832111
20-24,3093142,2960321
25-29,3127588,2975662
30-34,3406139,3269404
35-39,3723684,3615012
40-44,4438321,4312987
45-49,4845154,4740301
50-54,4218598,4164314
55-59,3840461,3825388
60-64,3674628,3739231
65-69,4212471,4457523
70-74,4175826,4628861
75-79,3292907,4009993
80-84,2318592,3211679
85-89,1352285,2424487
90-94,568132,1410167
95-99,119769,528597
100+,14246,106031
