Age,M,F
0-4,3899592,3717422
5-9,4739654,4516905
10-14,4919269,4686485
15-19,4367206,4182411
20-24,4078113,3929656
25-29,4110513,3968882
30-34,5260206,5115053
35-39,4893446,4795358
40-44,4487460,4474472
45-49,4161119,4175457
50-54,3821415,3893816
55-59,3183513,3456690
60-64,2116351,2818349
65-69,1798603,2350524
70-74,1479849,1990415
75-79,960899,1357073
80-84,527278,843420
85-89,183944,353647
90-94,45225,105118
95-99,6815,19971
100+,427,1721
