Age,M,F
0-4,4256176,4099933
5-9,5683059,5493370
10-14,4732952,4638200
15-19,4523924,4491594
20-24,4338495,4368432
25-29,4060728,4023903
30-34,3362806,3590466
35-39,2400455,2965558
40-44,2361026,2694187
45-49,2228148,2430500
50-54,1940822,1953288
55-59,1726291,1732994
60-64,1321130,1378065
65-69,982366,1110407
70-74,620576,822932
75-79,349786,554045
80-84,148283,272119
85-89,45341,97734
90-94,9091,23711
95-99,1008,3471
100+,43,239
