Age,M,F
0-4,4122852,3968832
5-9,5333710,5158940
10-14,4983648,4868437
15-19,4636449,4601416
20-24,4319885,4355241
25-29,4127573,4093710
30-34,3581477,3678729
35-39,2491396,3085444
40-44,2335774,2698990
45-49,2247654,2488723
50-54,1967792,2008401
55-59,1770439,1784797
60-64,1366115,1425474
65-69,1000913,1123215
70-74,647413,841194
75-79,361963,571915
80-84,152835,283336
85-89,46584,101137
90-94,9314,24638
95-99,1020,3598
100+,47,263
