Age,M,F
0-4,4662380,4430854
5-9,4192537,4013420
10-14,3982939,3837236
15-19,4385994,4286500
20-24,5631786,5555801
25-29,4716402,4678831
30-34,4364474,4302288
35-39,4249644,4195261
40-44,3874475,3823209
45-49,2949911,3358650
50-54,2205236,2747726
55-59,2102183,2483382
60-64,1837712,2103902
65-69,1438024,1644317
70-74,1034832,1261900
75-79,581530,810652
80-84,267430,451377
85-89,78041,174014
90-94,16707,47318
95-99,2210,7545
100+,133,581
