Age,M,F
0-4,4187819,4018836
5-9,3975238,3834355
10-14,4578915,4450240
15-19,5508516,5399857
20-24,4675944,4716769
25-29,4286137,4267615
30-34,4229475,4164598
35-39,3827006,3788735
40-44,2797030,3286111
45-49,2238208,2705147
50-54,2201009,2512690
55-59,1940897,2099805
60-64,1647742,1744308
65-69,1245322,1380177
70-74,813699,992735
75-79,471591,676719
80-84,195993,361468
85-89,58350,136748
90-94,12321,33506
95-99,1544,5102
100+,82,376
