Age,M,F
0-4,2872850,2745948
5-9,2994250,2868147
10-14,3043236,2913455
15-19,3323245,3174695
20-24,3726271,3565033
25-29,4345560,4154500
30-34,5012065,4823036
35-39,4386878,4273033
40-44,4076454,3993099
45-49,3856078,3814985
50-54,4321112,4327265
55-59,5111157,5162542
60-64,4182224,4399144
65-69,3591657,3908160
70-74,3086094,3651642
75-79,2325040,3072789
80-84,1275438,2269918
85-89,578639,1334785
90-94,241613,684352
95-99,54756,215380
100+,5898,35939
