Age,M,F
0-4,2724365,2600843
5-9,2787661,2668809
10-14,2989143,2857219
15-19,3095564,2954386
20-24,3200967,3066431
25-29,3574544,3418548
30-34,3997457,3856430
35-39,4824114,4669950
40-44,4709746,4598464
45-49,4065010,4011370
50-54,3808033,3783973
55-59,3907154,3936870
60-64,5038710,5195243
65-69,3958071,4259231
70-74,3490469,3967033
75-79,2825746,3560353
80-84,1900219,2858621
85-89,958189,1949904
90-94,311251,960389
95-99,81579,350478
100+,10407,70732
