Age,M,F
0-4,3150869,3008240
5-9,3530815,3376809
10-14,4001172,3823313
15-19,4948581,4718121
20-24,4865192,4659786
25-29,4219245,4045950
30-34,3983351,3833834
35-39,4139177,4029076
40-44,5494218,5390410
45-49,4484952,4472608
50-54,4211793,4275558
55-59,3925859,4068008
60-64,3428810,3668071
65-69,2632634,3182291
70-74,1657875,2459259
75-79,1280971,1953818
80-84,786318,1357801
85-89,321621,644053
90-94,100474,237986
95-99,17164,51474
100+,1449,5677
