Age,M,F
0-4,4843897,4600972
5-9,4214153,4031413
10-14,4010054,3857893
15-19,4223239,4113773
20-24,5543250,5464807
25-29,4796648,4733229
30-34,4467059,4410112
35-39,4292120,4234658
40-44,3956854,3900858
45-49,3184652,3469632
50-54,2247492,2838199
55-59,2104927,2514747
60-64,1878576,2190865
65-69,1457288,1678626
70-74,1082436,1321356
75-79,610309,850497
80-84,280688,469534
85-89,83266,182021
90-94,18085,50820
95-99,2427,8208
100+,142,612
