Age,M,F
0-4,4372272,4162394
5-9,5057254,4817163
10-14,4483293,4274860
15-19,4217628,4046356
20-24,4031304,3905682
25-29,4590189,4459815
30-34,5569199,5398309
35-39,4678341,4639770
40-44,4212882,4178091
45-49,4054971,4074773
50-54,3588568,3682417
55-59,2560285,3143988
60-64,1958843,2527997
65-69,1776746,2254777
70-74,1350013,1748217
75-79,878560,1222086
80-84,438755,700715
85-89,144684,282090
90-94,35109,84822
95-99,4733,14680
100+,299,1255
