Age,M,F
0-4,5449252,5257186
5-9,5048702,4906473
10-14,4700918,4633874
15-19,4440528,4404542
20-24,4176835,4181783
25-29,3597278,3738252
30-34,2540490,3127488
35-39,2386127,2750267
40-44,2329870,2545334
45-49,2050444,2074424
50-54,1890100,1855946
55-59,1516499,1523391
60-64,1188506,1258102
65-69,848704,1009983
70-74,556099,771857
75-79,303190,475867
80-84,131094,233096
85-89,39615,83523
90-94,8000,19914
95-99,770,2609
100+,31,167
