Age,M,F
0-4,2691729,2570027
5-9,2770010,2651249
10-14,2961183,2829168
15-19,3095246,2954637
20-24,3145333,3010493
25-29,3510209,3354257
30-34,3869330,3735155
35-39,4655626,4507611
40-44,4798131,4676141
45-49,4181736,4126363
50-54,3848115,3817507
55-59,3812841,3834704
60-64,4732066,4877881
65-69,4205586,4492683
70-74,3602550,4095132
75-79,2864464,3571325
80-84,1961673,2930682
85-89,1026992,2025371
90-94,332698,1020318
95-99,83450,362810
100+,11015,75415
