Age,M,F
0-4,2952396,2819287
5-9,3017066,2893052
10-14,3076174,2946772
15-19,3506837,3346231
20-24,3917189,3741920
25-29,4735644,4525830
30-34,4871635,4690623
35-39,4245865,4136411
40-44,3943067,3860047
45-49,3941629,3898054
50-54,4983970,4991944
55-59,4535554,4607503
60-64,4079171,4287828
65-69,3570851,3923156
70-74,2939528,3501228
75-79,2126460,2911893
80-84,1082902,2041225
85-89,550911,1236349
90-94,215215,601674
95-99,44961,171013
100+,4894,28386
