Age,M,F
0-4,5089962,4841685
5-9,4465359,4253525
10-14,4206229,4030149
15-19,4023034,3891950
20-24,4572161,4486550
25-29,5537356,5387002
30-34,4812241,4750675
35-39,4252323,4194419
40-44,4146978,4109783
45-49,3695648,3728496
50-54,2657837,3205010
55-59,2084727,2608298
60-64,1953878,2359620
65-69,1590526,1901707
70-74,1173496,1458287
75-79,709073,977560
80-84,318659,521134
85-89,104875,217355
90-94,21923,58601
95-99,2869,9714
100+,181,777
