Age,M,F
0-4,4943653,4705759
5-9,4814069,4581361
10-14,4235283,4050565
15-19,4028623,3883417
20-24,4225110,4122698
25-29,5613820,5454978
30-34,4800778,4704249
35-39,4397772,4354041
40-44,4246063,4210419
45-49,3868506,3870887
50-54,3095211,3424211
55-59,2156307,2781727
60-64,1973813,2433468
65-69,1687534,2080495
70-74,1212328,1522770
75-79,791170,1084997
80-84,358748,583592
85-89,118341,238224
90-94,25534,65178
95-99,3400,11322
100+,207,879
