Age,M,F
0-4,4425797,4220895
5-9,4085421,3920404
10-14,4036691,3897453
15-19,4884784,4790494
20-24,5189909,5152133
25-29,4741620,4723621
30-34,4300805,4236301
35-39,4136304,4074136
40-44,3650577,3678855
45-49,2547467,3134889
50-54,2172571,2608762
55-59,2072776,2392523
60-64,1736330,1923152
65-69,1415926,1590456
70-74,953373,1164422
75-79,537872,751389
80-84,240378,412865
85-89,71231,163675
90-94,14834,42016
95-99,1905,6438
100+,116,500
