Age,M,F
0-4,3552427,3389138
5-9,4009186,3824122
10-14,4909670,4683196
15-19,4860614,4638641
20-24,4250558,4084908
25-29,4012693,3852705
30-34,4189237,4055838
35-39,5523838,5396115
40-44,4569721,4522318
45-49,4291540,4316238
50-54,4055980,4129359
55-59,3608555,3751431
60-64,2836306,3280173
65-69,1873002,2605696
70-74,1577922,2178239
75-79,1142642,1690043
80-84,610836,997050
85-89,252362,485667
90-94,65411,149701
95-99,10900,31115
100+,773,3008
