Age,M,F
0-4,2618210,2499293
5-9,2751144,2629641
10-14,2877068,2751767
15-19,3071544,2929053
20-24,3116513,2978896
25-29,3338924,3187768
30-34,3681126,3552617
35-39,4271470,4138820
40-44,4939505,4804425
45-49,4324824,4258302
50-54,3986610,3943507
55-59,3739494,3749798
60-64,4110797,4224421
65-69,4751012,5034204
70-74,3692767,4200658
75-79,2910357,3566507
80-84,2101296,3074829
85-89,1142074,2159671
90-94,399865,1150718
95-99,90454,402965
100+,12351,85658
