Age,M,F
0-4,4565686,4346167
5-9,5014383,4774176
10-14,4422642,4222604
15-19,4126974,3963601
20-24,4066861,3947717
25-29,4899000,4760190
30-34,5322965,5172410
35-39,4661288,4622732
40-44,4215820,4180866
45-49,3999087,4012061
50-54,3467153,3607635
55-59,2384612,3030367
60-64,1950206,2470868
65-69,1751486,2204098
70-74,1298645,1662792
75-79,857152,1184197
80-84,411000,659598
85-89,134648,264719
90-94,31971,78135
95-99,4236,13384
100+,262,1105
