Age,M,F
0-4,5046807,4797208
5-9,4406946,4205329
10-14,4112383,3944106
15-19,4059460,3934243
20-24,4865512,4780954
25-29,5298597,5176929
30-34,4766778,4708689
35-39,4260251,4201708
40-44,4092310,4047561
45-49,3567482,3651938
50-54,2479850,3090491
55-59,2076913,2552235
60-64,1932269,2310282
65-69,1538522,1815916
70-74,1152657,1421638
75-79,674207,934231
80-84,303504,499712
85-89,97823,205114
90-94,20571,56187
95-99,2689,9122
100+,166,721
