Age,M,F
0-4,4042630,3886115
5-9,4075202,3933286
10-14,5290960,5146600
15-19,4935923,4863939
20-24,4536957,4577861
25-29,4312795,4296436
30-34,4115648,4037900
35-39,3527580,3636601
40-44,2453234,3035932
45-49,2263455,2646618
50-54,2165871,2417863
55-59,1848776,1933824
60-64,1605119,1677512
65-69,1161509,1290155
70-74,773781,952727
75-79,425108,627394
80-84,182338,343423
85-89,53613,124420
90-94,11236,30202
95-99,1323,4449
100+,68,318
