Age,M,F
0-4,3038497,2904259
5-9,3196518,3059840
10-14,3592283,3444418
15-19,4199685,4003381
20-24,5063836,4836424
25-29,4657564,4462894
30-34,4161947,4004416
35-39,3918859,3803178
40-44,4271367,4190731
45-49,5509996,5439307
50-54,4330568,4385956
55-59,3997008,4110060
60-64,3697531,3947085
65-69,3118031,3498762
70-74,2168047,2918452
75-79,1330031,2150635
80-84,893651,1579563
85-89,411656,874046
90-94,124543,314887
95-99,24572,79963
100+,2144,9622
