Age,M,F
0-4,4223924,4043680
5-9,3982623,3833547
10-14,4204665,4072762
15-19,5590204,5486800
20-24,4644223,4652307
25-29,4453556,4440362
30-34,4329413,4265789
35-39,4000145,3930065
40-44,3262454,3502026
45-49,2304868,2878407
50-54,2210309,2579227
55-59,2028557,2279743
60-64,1661390,1786906
65-69,1346171,1493766
70-74,878799,1073760
75-79,508800,718358
80-84,211060,375805
85-89,64353,150246
90-94,13546,37430
95-99,1702,5582
100+,99,412
