Age,M,F
0-4,2443979,2335687
5-9,2676257,2556032
10-14,2781719,2660815
15-19,3011226,2867948
20-24,3106762,2973698
25-29,3153561,3003350
30-34,3483294,3346785
35-39,3825818,3714077
40-44,4635019,4503426
45-49,4746953,4650454
50-54,4140948,4090855
55-59,3785270,3777796
60-64,3710922,3783175
65-69,4541911,4816335
70-74,3909877,4359268
75-79,3199930,3891339
80-84,2299435,3221296
85-89,1295008,2357211
90-94,530070,1350818
95-99,108687,494164
100+,13760,100922
