Age,M,F
0-4,5052694,4808497
5-9,4634298,4411816
10-14,4216358,4034467
15-19,4003926,3866871
20-24,4383673,4291663
25-29,5705070,5540880
30-34,4726130,4654708
35-39,4307099,4254581
40-44,4204154,4170063
45-49,3789668,3796688
50-54,2867187,3312760
55-59,2113520,2692575
60-64,1969309,2402940
65-69,1643403,1993564
70-74,1187649,1484317
75-79,749662,1029436
80-84,337042,550076
85-89,111297,227544
90-94,23449,61303
95-99,3094,10410
100+,192,820
