Age,M,F
0-4,2752179,2627589
5-9,2817041,2696966
10-14,3008121,2877025
15-19,3098325,2955843
20-24,3259487,3124342
25-29,3638103,3483791
30-34,4151216,4001000
35-39,4928964,4772678
40-44,4543586,4444041
45-49,4035792,3982786
50-54,3787355,3767790
55-59,4054662,4096229
60-64,5129205,5279836
65-69,3891325,4217890
70-74,3388561,3854483
75-79,2754595,3510807
80-84,1843526,2790897
85-89,880394,1863844
90-94,296540,908016
95-99,79587,336938
100+,9879,66012
