Age,M,F
0-4,3699934,3531034
5-9,4342709,4139385
10-14,5058543,4823931
15-19,4512999,4311935
20-24,4220244,4057689
25-29,4018435,3868331
30-34,4556178,4429977
35-39,5451473,5312081
40-44,4617624,4607214
45-49,4128331,4139734
50-54,3942535,4024249
55-59,3454007,3615838
60-64,2424704,3062304
65-69,1799234,2428546
70-74,1542096,2099289
75-79,1051328,1517733
80-84,567386,920220
85-89,215073,412294
90-94,54228,123528
95-99,8739,25004
100+,591,2315
