Age,M,F
0-4,4195524,3995374
5-9,5021105,4783822
10-14,4652772,4434712
15-19,4226815,4050296
20-24,4012241,3880015
25-29,4389667,4259338
30-34,5718487,5544630
35-39,4575956,4529039
40-44,4273611,4244817
45-49,4114875,4136298
50-54,3676666,3748385
55-59,2766102,3251084
60-64,1987349,2612857
65-69,1795112,2298751
70-74,1400592,1837545
75-79,895318,1251240
80-84,468712,747206
85-89,155710,302490
90-94,37920,90278
95-99,5246,16064
100+,328,1361
