Age,M,F
0-4,3214858,3068958
5-9,3598774,3442373
10-14,4160437,3971820
15-19,5058140,4823100
20-24,4691617,4498416
25-29,4192178,4017856
30-34,3963907,3818268
35-39,4300168,4195693
40-44,5592536,5475202
45-49,4419140,4433382
50-54,4110615,4167056
55-59,3873065,4025338
60-64,3360155,3597651
65-69,2435722,3072412
70-74,1616539,2368750
75-79,1266790,1918440
80-84,752201,1281535
85-89,305610,607078
90-94,92638,217529
95-99,15708,45914
100+,1317,5097
