Age,M,F
0-4,3296041,3144913
5-9,3676921,3515547
10-14,4336485,4137611
15-19,5094555,4858721
20-24,4516622,4333706
25-29,4187055,4013089
30-34,3988498,3845395
35-39,4496617,4394369
40-44,5410714,5294105
45-49,4533823,4561681
50-54,4040588,4095032
55-59,3803977,3959014
60-64,3281275,3533279
65-69,2249223,2965415
70-74,1585963,2283164
75-79,1243610,1871680
80-84,715474,1203157
85-89,294204,580107
90-94,84972,198045
95-99,14458,41438
100+,1197,4574
