Age,M,F
0-4,2996939,2864445
5-9,3025256,2898179
10-14,3197110,3063354
15-19,3638981,3476542
20-24,4207197,4012013
25-29,5017077,4795209
30-34,4616542,4452541
35-39,4105583,3988970
40-44,3888534,3806566
45-49,4200273,4162749
50-54,5410051,5396940
55-59,4211956,4328886
60-64,3852562,4046528
65-69,3473820,3863263
70-74,2800041,3349895
75-79,1830419,2703142
80-84,979281,1838136
85-89,523904,1153919
90-94,185018,507211
95-99,36666,135250
100+,3824,20948
