Age,M,F
0-4,3088700,2948880
5-9,3461833,3310818
10-14,3867391,3699028
15-19,4774382,4551661
20-24,4957349,4742468
25-29,4337670,4162261
30-34,4023178,3868617
35-39,4032756,3920065
40-44,5159106,5066355
45-49,4746412,4708048
50-54,4334853,4403009
55-59,3936659,4068930
60-64,3494947,3740976
65-69,2804846,3276827
70-74,1734141,2573141
75-79,1283568,1977691
80-84,816299,1421564
85-89,342025,693433
90-94,107345,257857
95-99,18820,57648
100+,1611,6398
