Age,M,F
0-4,3395703,3239170
5-9,3766914,3597807
10-14,4529765,4321055
15-19,5052665,4819361
20-24,4448836,4272738
25-29,4102427,3931511
30-34,4028891,3888222
35-39,4802801,4695290
40-44,5123351,5025097
45-49,4540774,4570423
50-54,4035466,4095646
55-59,3739678,3891626
60-64,3173436,3461163
65-69,2087829,2852214
70-74,1571761,2223222
75-79,1213941,1818356
80-84,677743,1127386
85-89,282455,551493
90-94,77971,180512
95-99,13253,37636
100+,1057,3991
