Age,M,F
0-4,3621095,3456085
5-9,4167686,3973716
10-14,5020438,4788159
15-19,4686378,4475009
20-24,4226368,4061034
25-29,3993750,3839639
30-34,4354539,4227061
35-39,5624975,5483705
40-44,4505608,4484135
45-49,4193611,4209479
50-54,4007282,4088220
55-59,3536874,3680449
60-64,2623696,3169437
65-69,1829547,2514396
70-74,1564500,2144536
75-79,1098939,1605148
80-84,585092,952562
85-89,233254,447933
90-94,59513,135495
95-99,9743,27876
100+,677,2655
