Age,M,F
0-4,3981212,3834858
5-9,4379452,4235132
10-14,5728549,5566562
15-19,4626596,4586892
20-24,4323565,4363586
25-29,4281051,4263938
30-34,3966702,3889468
35-39,3064465,3439991
40-44,2323168,2828271
45-49,2288688,2615214
50-54,2108591,2273713
55-59,1811842,1857306
60-64,1509485,1569301
65-69,1082055,1200983
70-74,735672,919615
75-79,394294,603233
80-84,170093,320588
85-89,51219,115292
90-94,10739,28366
95-99,1219,4124
100+,61,297
