Age,M,F
0-4,2655572,2534872
5-9,2758885,2639277
10-14,2925039,2795644
15-19,3082709,2942005
20-24,3119510,2982721
25-29,3430088,3276164
30-34,3765557,3635652
35-39,4456681,4317010
40-44,4897096,4766827
45-49,4258728,4199039
50-54,3902551,3864641
55-59,3772228,3788070
60-64,4383042,4511387
65-69,4484585,4765640
70-74,3705135,4215262
75-79,2875630,3552959
80-84,2027773,3000803
85-89,1087785,2096005
90-94,362675,1085217
95-99,86031,378045
100+,11719,80464
