Age,M,F
0-4,5816206,5610301
5-9,4793212,4675209
10-14,4586861,4522826
15-19,4457602,4418698
20-24,4107659,4111524
25-29,3374579,3645570
30-34,2450687,3007398
35-39,2413724,2746087
40-44,2309873,2484931
45-49,2023346,2018373
50-54,1841821,1802254
55-59,1467576,1474870
60-64,1167149,1246923
65-69,815776,990995
70-74,535999,747054
75-79,294160,459238
80-84,127778,225862
85-89,38809,80996
90-94,7551,18993
95-99,700,2401
100+,29,153
