Age,M,F
0-4,4094443,3932100
5-9,4015800,3874078
10-14,4896879,4760654
15-19,5229085,5138534
20-24,4666755,4708351
25-29,4282125,4265229
30-34,4175264,4103337
35-39,3701136,3718272
40-44,2606380,3171120
45-49,2236540,2654532
50-54,2185769,2467861
55-59,1890831,2011368
60-64,1633569,1716377
65-69,1204150,1336063
70-74,790629,967580
75-79,450048,652077
80-84,190171,354770
85-89,56128,130769
90-94,11855,32045
95-99,1437,4798
100+,74,350
