Age,M,F
0-4,4034622,3844244
5-9,4912531,4681031
10-14,4827093,4599635
15-19,4250907,4071850
20-24,4035808,3895653
25-29,4222879,4086701
30-34,5603545,5443576
35-39,4640078,4568983
40-44,4367394,4348749
45-49,4158814,4175649
50-54,3751809,3820252
55-59,2987480,3361906
60-64,2030068,2702331
65-69,1803597,2330400
70-74,1444677,1923169
75-79,922584,1293591
80-84,499656,796520
85-89,169167,326841
90-94,41409,97320
95-99,5921,17819
100+,367,1507
