Age,M,F
0-4,2783862,2662115
5-9,2944492,2815060
10-14,3034882,2908742
15-19,3128238,2988606
20-24,3517769,3366400
25-29,3895337,3732203
30-34,4705451,4528939
35-39,4816681,4673809
40-44,4227465,4148184
45-49,3893050,3848154
50-54,3887873,3875585
55-59,4879568,4946220
60-64,4394234,4552529
65-69,3896276,4232874
70-74,3276577,3788867
75-79,2526454,3288545
80-84,1624188,2573083
85-89,675509,1583146
90-94,266954,779943
95-99,69045,283339
100+,7733,49640
