Age,M,F
0-4,2918631,2787675
5-9,3004127,2880070
10-14,3047650,2918071
15-19,3421148,3265748
20-24,3811507,3644268
25-29,4533707,4333379
30-34,4970255,4783799
35-39,4321788,4211564
40-44,3994167,3910112
45-49,3894449,3852161
50-54,4611906,4619730
55-59,4828127,4886325
60-64,4195873,4412819
65-69,3567442,3899937
70-74,3010580,3575072
75-79,2239139,2999364
80-84,1170753,2161116
85-89,560523,1273253
90-94,229538,645207
95-99,49797,192845
100+,5416,32240
